title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
Strength of Interlayer Metal–Metal Coupling as Key Active Site Configuration and Atomic Descriptor for Single-Atom Catalysts	2026-07-09	Journal of the American Chemical Society	https://doi.org/10.1021/jacs.6c04989	https://doi.org/10.1021/jacs.6c04989	0	19.978	catalysis,catalyst_descriptor,electrocatalysis,h2,ml,priority_journal,separation,uncertainty	Using machine learning and data mining, we further identify local electronic-structure descriptors that enable quantitative structure-activity relationships to guide catalyst design.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Strength of InterlayerMetal–Metal Couplingas Key Active Site Configuration and Atomic Descriptor for Single-AtomCatalysts	2026-07-09	Figshare	https://doi.org/10.1021/jacs.6c04989.s001	https://figshare.com/articles/journal_contribution/Strength_of_Interlayer_Metal_Metal_Coupling_as_Key_Active_Site_Configuration_and_Atomic_Descriptor_for_Single-Atom_Catalysts/32948290	0	16.478	catalysis,catalyst_descriptor,electrocatalysis,h2,ml,separation,uncertainty	Using machine learning and data mining, we further identify local electronic-structure descriptors that enable quantitative structure–activity relationships to guide catalyst design.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Accelerating Catalyst Materials Discovery With Large Artificial Intelligence Models	2026-02-17	Angewandte Chemie International Edition	https://doi.org/10.1002/anie.202526150	https://doi.org/10.1002/anie.202526150	9	15.303	active_learning,catalysis,foundation_model,h2,high_throughput,interatomic_potential,ml,multimodal,priority_journal	The integration of artificial intelligence (AI) into catalysis is fundamentally reshaping the research paradigm of catalyst discovery.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Boosting Computational Catalysis and Chemical Reactivity with Artificial Intelligence	2026-02-20	Journal of the American Chemical Society	https://doi.org/10.1021/jacs.5c17786	https://doi.org/10.1021/jacs.5c17786	2	14.332	catalysis,foundation_model,generative_model,interatomic_potential,ml,priority_journal,review,separation	Artificial intelligence (AI) and machine learning (ML) are rapidly reshaping the landscape of computational chemistry, offering new opportunities for accelerating catalyst discovery and deepening our understanding of chemical reactivity.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Machine Learning-Guided Discovery of PGM-Lean High-Entropy Alloys for Efficient Solar Hydrogen Evolution	2026-07-07	ECS Meeting Abstracts	https://doi.org/10.1149/ma2026-01412092mtgabs	https://doi.org/10.1149/ma2026-01412092mtgabs	0	13.956	adsorption,alloy,catalysis,catalyst_descriptor,dft,electrocatalysis,force_field,h2,high_throughput,ml,uncertainty	Despite this progress, the atomic-scale origins of HER activity in HEAs—specifically the geometric and electronic descriptors governing optimal hydrogen binding—remain insufficiently understood.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Underexplored Catalysts as General Structures: Application of Machine Learning Techniques for Reaction‐Specific Datasets	2026-07-10	Angewandte Chemie	https://doi.org/10.1002/ange.8169897	https://doi.org/10.1002/ange.8169897	0	13.189	catalysis,h2,high_throughput,ml,priority_journal,reaction_dataset	General catalysts are usually identified through broad experimental screening to find structures that perform reliably across many substrates and reaction classes.	Catalyst generality inferred from sparse historical reaction data can still reflect reporting bias and needs targeted validation. Likely sensitive to training-set coverage and transferability across chemistries.	Rebuild the workflow on MOF catalytic reaction families with explicit scaffold generality, reporting-bias, and validation splits. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Reaction-specific small-data workflow is useful for MOF catalysis if catalyst generality, literature bias, and scaffold validation are made explicit.	adjacent materials	Adapt catalyst-generality scoring to MOF catalytic reaction families, biased literature data, and targeted experimental or DFT validation.
Design paradigms for Pt-based electrocatalysts toward acidic oxygen reduction in proton exchange membrane fuel cells	2026-07-08	Frontiers in Materials	https://doi.org/10.3389/fmats.2026.1865153	https://doi.org/10.3389/fmats.2026.1865153	0	12.667	alloy,battery,catalysis,catalyst_descriptor,h2,review	The widespread commercialization of proton exchange membrane fuel cells (PEMFCs) relies fundamentally on developing cost-effective, highly active Pt-based cathode electrocatalysts.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Catalytic conclusions are likely thermodynamics-heavy unless kinetics or explicit environment are included.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Active-site descriptor or model-selection idea can transfer to MOF catalysis through metal-node, defect, bimetallic, or local-field descriptors.	adjacent materials	Adapt active-site model-selection and descriptor mining to MOF metal nodes, defects, bimetallic sites, or local-field catalytic motifs.
Harnessing machine learning for electrochemical CO 2 reduction: current progress and future perspectives	2026-06-23	Micro Nano Science	https://doi.org/10.20517/mns.2025.06	https://doi.org/10.20517/mns.2025.06	0	11.500	catalysis,co2,electrocatalysis,h2,ml,oxide,physics_informed,review,separation	Electrochemical carbon dioxide reduction (CO 2 RR) is regarded as a promising strategy for achieving sustainable carbon utilization, but the complexity and multi-scale characteristics of this reaction process pose significant challenges for the rational design of catalysts.The integration of machine learning (ML) with electrocatalysis can establish cross-scale connections among atomic structure, dynamic interfacial microenvironments, and macroscopic catalytic performance, thereby enabling predictive analysis of catalyst activity, product selectivity, reaction pathways, and electrochemical environment regulation.This outlook integrates recent advances in ML-assisted CO 2 RR, highlights the key challenges in data quality, feature interpretability, and multiscale integration, and proposes future directions for combining physics-informed modeling with realistic electrochemical reaction environments.With advances in ML, automated experimentation, and multi-source data integration, a self-evolving catalyst design platform is expected to be established.	Likely sensitive to training-set coverage and transferability across chemistries. Catalytic conclusions are likely thermodynamics-heavy unless kinetics or explicit environment are included.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Potentially useful as a neighboring-method reference.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Fine-tuning large language models to generate single-atom catalyst synthesis procedures	2026-06-19	Communications Chemistry	https://doi.org/10.1038/s42004-026-02046-y	https://doi.org/10.1038/s42004-026-02046-y	0	11.256	catalysis,foundation_model,h2,review,transfer_learning	We demonstrate the model's practicality through a user interface allowing researchers to query procedures tailored to their design conditions.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Catalytic conclusions are likely thermodynamics-heavy unless kinetics or explicit environment are included.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
Harnessing Artificial Intelligence (AI) for a greener future: a review of AI advancements in green chemistry, chemical processes and sustainable materials	2026-06-01	Applied Intelligence	https://doi.org/10.1007/s10489-026-07326-7	https://doi.org/10.1007/s10489-026-07326-7	0	11.056	active_learning,catalysis,equivariant_ml,h2,ml,polymer,review,separation	The rise of artificial intelligence (AI), particularly machine learning (ML), is fundamentally reshaping how we pursue green chemistry and sustainable chemical processes.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.	adjacent materials	Use reaction-specific small-data learning as a template for MOF catalytic active-site or reaction-family datasets.
