title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
Computational and ML methods in MOF based supercapacitors - from mechanistic understanding to future materials design	2026-08-29	Journal of Materials Science Materials Theory	https://doi.org/10.1186/s41313-026-00087-3	https://doi.org/10.1186/s41313-026-00087-3	0	13.400	active_learning,catalyst_descriptor,crystal,dft,electrocatalysis,high_throughput,ml,mof,physics_informed,porous_material,review,surrogate_model	Key insights from DFT are discussed in relation to three critical performance descriptors as electrical conductivity, electrochemical and structural stability, and redox activity.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
uMOF: A Universal Database, Benchmark, and Machine Learning Interatomic Potentials for Metal-Organic Frameworks	2026-08-28	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2608.28100	https://arxiv.org/abs/2608.28100	0	12.389	adsorption,crystal,dft,equivariant_ml,foundation_model,h2,high_throughput,interatomic_potential,md,ml,mof,separation,uncertainty	We introduce uMOF, a three-part contribution addressing this gap.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Mesoporous single-atom and nano-confined catalysts: Enabling low-energy integrated CO2 capture and direct conversion	2026-09-03	Materials Today Sustainability	https://doi.org/10.1016/j.mtsust.2026.101445	https://doi.org/10.1016/j.mtsust.2026.101445	0	10.956	active_learning,catalysis,co2,electrocatalysis,generative_model,h2,mof,photocatalysis,porous_material,review,separation,water	Mesoporous architecture confinement engineering has become an effective approach to address major limitations of single-atom catalysts (SACs) and integrated CO 2 capture-conversion systems.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Generalized Machine Learning Potentials for Predicting Low-Pressure Water Adsorption in Flexible Al-Based Metal–Organic Frameworks	2026-08-25	Journal of Chemical Theory and Computation	https://doi.org/10.1021/acs.jctc.6c01162	https://doi.org/10.1021/acs.jctc.6c01162	0	10.356	adsorption,dft,equivariant_ml,force_field,foundation_model,h2,high_throughput,interatomic_potential,md,ml,mof,separation,transfer_learning,water	Classical force fields, such as UFF, often fail to capture the strong, directional hydrogen-bonding interactions between water and MOFs, while high-throughput density functional theory (DFT) calculations are computationally prohibitive.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Active Sites in Motion: Principles, Materials Platforms, and Sustainable Applications in Heterogeneous Catalysis	2026-08-30	ChemRxiv	https://doi.org/10.26434/chemrxiv.15008045/v1	https://doi.org/10.26434/chemrxiv.15008045/v1	0	9.911	catalysis,co2,h2,high_throughput,ml,mof,oxide,review,separation,zeolite	Heterogeneous catalysis stands as a cornerstone of modern chemical science, underpinning the sustainable production of fuels, chemicals, and materials across industries ranging from petroleum refining to environmental protection.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Add kinetics, explicit environment effects, and active-site reconstruction checks.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Discovering Physically Interpretable Mathematical Expression for Predicting CO2 Adsorption in Metal-Organic Frameworks via Machine Learning-Symbolic Regression	2026-08-15	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2608.14990	https://arxiv.org/abs/2608.14990	0	9.744	adsorption,catalyst_descriptor,co2,h2,md,ml,mof,symbolic_regression,transfer_learning	This work presents a machine learning-symbolic regression (ML-SR) strategy to develop a physically interpretable formula for predicting low pressure CO2 adsorption capacity in hypothetical metal-organic frameworks (hMOFs).	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Likely sensitive to training-set coverage and transferability across chemistries.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Smart Catalyst Design: Integrating Structure–Activity Relationships with Computational and Data-Driven Approaches	2026-04-22	International Journal of Creative and Open Research in Engineering and Management	https://doi.org/10.55041/ijcope.v2i4.571	https://doi.org/10.55041/ijcope.v2i4.571	0	9.467	catalysis,catalyst_descriptor,co2,electrocatalysis,high_throughput,ml,mof,review,separation	Special attention is given to the emerging approaches based on the exploitation of designer-like methods, high-throughput experimentation, and data-driven approaches, to explore huge compositional and structural spaces.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Likely sensitive to training-set coverage and transferability across chemistries.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Machine learning approach for MOF-based photocatalytic CO2 reduction to fuels	2026-09-01	Energy Conversion and Management X	https://doi.org/10.1016/j.ecmx.2026.102268	https://doi.org/10.1016/j.ecmx.2026.102268	0	8.933	catalysis,co2,h2,ml,mof,photocatalysis,review,separation,uncertainty	Herein, we present a machine learning framework trained on 417 experimental data points compiled from the MOF-based photocatalytic CO 2 reduction literature.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Likely sensitive to training-set coverage and transferability across chemistries.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Test humid or multicomponent conditions and connect material metrics to process-level targets.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
AI-integrated manufacturing of advanced materials for energy storage, catalysis, and environmental applications	2026-07-03	Frontiers in Chemistry	https://doi.org/10.3389/fchem.2026.1864044	https://doi.org/10.3389/fchem.2026.1864044	2	8.865	active_learning,adsorption,catalysis,catalyst_descriptor,co2,dft,electrocatalysis,h2,high_throughput,ml,mof,separation	The incorporation of artificial intelligence (AI) into energy systems has become a transformative strategy for tackling global energy related challenges, particularly energy vulnerability (EVI).	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Predicting CO₂ adsorption in Cu- and Zn-metal-organic frameworks using a permutation-invariant deep learning framework	2026-08-22	Next Materials	https://doi.org/10.1016/j.nxmate.2026.103167	https://doi.org/10.1016/j.nxmate.2026.103167	0	8.822	adsorption,co2,h2,high_throughput,ml,mof,oxide,porous_material,separation	The proposed framework combines string-based chemical descriptors (SMILES and SELFIES, with one-hot and ordinal encodings) with physical descriptors (pore-limiting diameter, largest cavity diameter, gravimetric and volumetric surface areas, void fraction, topology, and catenation), and incorporating a permutation-invariant aggregator over multiple MOFs linkers.	Likely sensitive to training-set coverage and transferability across chemistries. Screening conclusions may depend on idealized structures, force fields, and missing defects/flexibility.	Test humid or multicomponent conditions and connect material metrics to process-level targets. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Directly relevant to MOF work, but likely less novel for this transfer-focused profile.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
