title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance	transfer_distance	mof_transfer_route
From bio-inspired concepts to intelligent design: evolution and development trends of bio-inspired mechanical structural design methods	2026-09-01	Advanced bionics.	https://doi.org/10.1016/j.abs.2026.08.008	https://doi.org/10.1016/j.abs.2026.08.008	0	20.133	active_learning,generative_model,gnn,high_throughput,md,ml,review,surrogate_model	Methods for digital characterization, automated modeling, high-throughput finite element analysis, and database construction are then reviewed, emphasizing the transition from explicit parameters to image, voxel, and graph representations.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	distant method analogy	Adapt the generator to MOF topology, linker-node compatibility, charge balance, and synthesizability constraints.
uMOF: A Universal Database, Benchmark, and Machine Learning Interatomic Potentials for Metal-Organic Frameworks	2026-08-28	arXiv (Cornell University)	https://doi.org/10.48550/arxiv.2608.28100	https://arxiv.org/abs/2608.28100	0	18.589	adsorption,crystal,dft,equivariant_ml,foundation_model,h2,high_throughput,interatomic_potential,md,ml,mof,separation,uncertainty	We introduce uMOF, a three-part contribution addressing this gap.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Mechanism-informed machine learning for intelligent design of rare-earth-containing magnesium-based alloys	2026-09-02	Journal of Magnesium and Alloys	https://doi.org/10.1016/j.jma.2026.102273	https://doi.org/10.1016/j.jma.2026.102273	0	17.144	active_learning,alloy,electrocatalysis,force_field,generative_model,high_throughput,ml,physics_informed,review,uncertainty	However, strict inverse design remains limited by scarce and heterogeneous data, incomplete physical descriptors, weak model transferability, and insufficient closed-loop validation.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Adapt the generator to MOF topology, linker-node compatibility, charge balance, and synthesizability constraints.
Carbon Nanotube-Induced Magnetic Shielding Effects on 129Xe NMR from Equivariant Neural Networks	2026-08-27	ChemRxiv	https://doi.org/10.26434/chemrxiv.15007956/v1	https://doi.org/10.26434/chemrxiv.15007956/v1	0	17.078	equivariant_ml,foundation_model,gnn,h2,interatomic_potential,md,ml	Equivariant graph neural networks (EGNNs) have shown success in building efficient and accurate machine learning interatomic potentials (MLIPs) for molecular dynamics (MD) and in enabling the prediction of nuclear magnetic resonance (NMR) parameters in complex systems.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	distant method analogy	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
Improving Reliability of Machine Learning Interatomic Potentials with Physics-Informed Pretraining	2026-08-28	Journal of Chemical Information and Modeling	https://doi.org/10.1021/acs.jcim.6c00826	https://doi.org/10.1021/acs.jcim.6c00826	0	16.689	foundation_model,gnn,h2,interatomic_potential,md,ml,physics_informed,self_supervised,transfer_learning	We demonstrate this approach through a pretraining-finetuning pipeline where MLIPs are initially pretrained on data labeled with embedded atom model (EAM) potentials and subsequently finetuned on the quantum mechanical ground truth data.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	distant method analogy	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
Computational and ML methods in MOF based supercapacitors - from mechanistic understanding to future materials design	2026-08-29	Journal of Materials Science Materials Theory	https://doi.org/10.1186/s41313-026-00087-3	https://doi.org/10.1186/s41313-026-00087-3	0	16.600	active_learning,catalyst_descriptor,crystal,dft,electrocatalysis,high_throughput,ml,mof,physics_informed,porous_material,review,surrogate_model	Key insights from DFT are discussed in relation to three critical performance descriptors as electrical conductivity, electrochemical and structural stability, and redox activity.	Descriptor transfer depends on whether the proposed active-site model remains physically faithful in MOF node or defect environments. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Test whether active-site descriptors transfer to MOF nodes, defects, bimetallic sites, or local-field-controlled catalytic regimes. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Already in the MOF literature; keep it only if the method adds a new representation, label space, or uncertainty/active-learning angle.	direct MOF	Use as direct MOF prior art or a benchmark for a more specific MOF task.
Inverse design of functional materials: a case study in thermoelectrics	2026-08-31	npj Computational Materials	https://doi.org/10.1038/s41524-026-02307-3	https://doi.org/10.1038/s41524-026-02307-3	0	16.322	crystal,dft,foundation_model,generative_model,gnn,h2,high_throughput,md,ml,priority_journal	Here we present a thermoelectric inverse-design (TEID) framework that integrates the MatHub-3d database, a generative model, and hierarchical screening across low-, medium-, and high-accuracy calculations.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Adapt the generator to MOF topology, linker-node compatibility, charge balance, and synthesizability constraints.
CrystalGRW: generative modeling of crystal structures with targeted crystallographic properties via geodesic random walks	2026-08-31	Scientific Reports	https://doi.org/10.1038/s41598-026-62470-x	https://doi.org/10.1038/s41598-026-62470-x	0	15.822	crystal,dft,equivariant_ml,generative_model,gnn,h2,md,ml	We introduce CrystalGRW, a diffusion-based generative model on Riemannian manifolds that proposes candidate crystal configurations in stable phases, validated through density functional theory calculations.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Adapt the generator to MOF topology, linker-node compatibility, charge balance, and synthesizability constraints.
MolCryst-MLIPs: A Machine-Learned Interatomic Potentials Database for Molecular Crystals	2026-08-27	Journal of Chemical Theory and Computation	https://doi.org/10.1021/acs.jctc.6c00735	https://doi.org/10.1021/acs.jctc.6c00735	0	15.778	crystal,dft,equivariant_ml,foundation_model,h2,high_throughput,interatomic_potential,md,ml	Abstract We present an open Molecular Crystal (MC) database of Machine-Learned Interatomic Potentials (MLIPs) called MolCryst-MLIPs.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.	adjacent materials	Fine-tune or adapt the representation on sparse MOF labels such as flexibility, defects, guest response, or adsorption regimes.
PhononBench:A Large-Scale Phonon-Based Benchmark for Dynamical Stability in Crystal Generation	2026-08-26	AI for Science	https://doi.org/10.1088/3050-287x/ae9ee4	https://doi.org/10.1088/3050-287x/ae9ee4	1	15.760	crystal,foundation_model,generative_model,gnn,h2,high_throughput,interatomic_potential,md,ml,separation	Here, we introduce PhononBench, the first large-scale benchmark of dynamical stability in AI-generated crystals.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.	adjacent materials	Adapt the generator to MOF topology, linker-node compatibility, charge balance, and synthesizability constraints.
