title	publication_date	journal	doi	url	citation_count	score	tags	innovation	limitations	next_steps	mof_relevance
Uncertainty-aware Machine Learning Interatomic Potentials via Learned Functional Perturbations	2026-05-19	ArXiv.org		https://arxiv.org/abs/2605.19939	0	20.233	active_learning,dft,equivariant_ml,foundation_model,h2,high_throughput,interatomic_potential,ml,transfer_learning,uncertainty	Machine Learning Interatomic Potentials (MLIPs) achieve near ab initio accuracy at a fraction of the cost of quantum-mechanical simulations, yet they remain prone to silent failures on out-of-distribution configurations, making principled uncertainty quantification (UQ) essential for error-aware simulations and active learning.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
From High-Throughput Screening to Generative Design: Artificial Intelligence-Driven Dielectric Materials Discovery	2026-05-20	ACS Applied Materials & Interfaces	https://doi.org/10.1021/acsami.6c05353	https://doi.org/10.1021/acsami.6c05353	0	19.944	active_learning,crystal,foundation_model,generative_model,h2,high_throughput,md,ml,physics_informed,polymer,review,surrogate_model	Traditional high-throughput screening is limited to existing chemical spaces and cannot resolve the inherent orthogonality between key dielectric metrics and multiphysics coupling conflicts.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
Spatial statistics for screening molecular structures	2026-05-16	ArXiv.org		https://arxiv.org/abs/2605.17147	0	19.400	active_learning,alloy,crystal,dft,equivariant_ml,generative_model,high_throughput,ml,physics_informed,review,surrogate_model	The dominant paradigm in computational materials discovery relies on heavily parameterized deep architectures, including message-passing graph networks and equivariant models, that require millions of DFT-labeled training structures and produce non-convex latent representations that complicate continuous optimization for inverse design.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
Machine Learning and Deep Learning in Quantum Materials: Symmetry, Topology, and the Rise of Altermagnets	2026-04-17	arXiv (Cornell University)		https://arxiv.org/abs/2604.15985	0	19.278	crystal,dft,equivariant_ml,force_field,gnn,h2,high_throughput,ml,physics_informed,review,symbolic_regression	The landscape of condensed matter physics is facing an unprecedented data surge driven by high-throughput ab initio workflows and rapidly expanding experimental datasets.	Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled. Likely sensitive to training-set coverage and transferability across chemistries.	Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Representation-learning advance may transfer to MOFs after adding porous-crystal topology and metal-node chemistry.
Fast and Accurate Prediction of Lattice Thermal Conductivity via Machine Learning Surrogates	2026-05-12	ArXiv.org		https://arxiv.org/abs/2605.11610	0	18.556	crystal,dft,generative_model,h2,high_throughput,interatomic_potential,ml,surrogate_model,uncertainty	To address this challenge, we present a comprehensive benchmark of 15 surrogate models for predicting \k{appa}lat using the Phonix database, which contains 6,966 entries with anharmonic phonon properties derived from first-principles calculations.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
Predicting temperature-dependent optoelectronic properties of semiconductor defects with equivariant neural networks	2026-05-11	npj Computational Materials	https://doi.org/10.1038/s41524-026-02111-z	https://doi.org/10.1038/s41524-026-02111-z	0	17.244	active_learning,dft,equivariant_ml,gnn,h2,md,ml,priority_journal	Here, we present a neural network-based framework to investigate the electronic properties of defective semiconductors at finite temperatures efficiently.	Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain. Representation gains depend on whether periodicity, long-range electrostatics, and porous-framework topology are handled.	Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states. Benchmark node/linker-aware periodic graphs against generic crystal representations on MOF properties.	Active-learning or uncertainty workflow could help decide which MOF DFT/MD/GCMC labels are worth generating next.
Direct Simulation of LiNi0.8Mn0.1Co0.1O2 Transport Properties Using an Efficient and Accurate Machine Learning Potential	2026-05-19	ArXiv.org		https://arxiv.org/abs/2605.19747	0	17.233	active_learning,battery,dft,equivariant_ml,force_field,foundation_model,gnn,h2,interatomic_potential,md,ml,oxide,uncertainty	The rate capability of layered lithium nickel manganese cobalt oxide (NMC) cathode materials plays a decisive role in high-power applications such as fast charging, necessitating a detailed understanding of lithium-ion diffusion.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
Data-Efficient and Fast Machine Learning Molecular Dynamics through Integrated Active Learning and Knowledge Distillation	2026-05-11	ChemRxiv	https://doi.org/10.26434/chemrxiv.15002964/v1	https://doi.org/10.26434/chemrxiv.15002964/v1	0	16.544	active_learning,dft,equivariant_ml,foundation_model,h2,interatomic_potential,md,ml,water	We develop data-efficient machine learning interatomic potentials (MLIPs) for fast molecular dynamics simulations combining DeePMD and MACE models within an active learning and knowledge distillation framework.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
Training-free active learning framework in materials science with large language models	2026-05-20	npj Computational Materials	https://doi.org/10.1038/s41524-026-02136-4	https://doi.org/10.1038/s41524-026-02136-4	2	15.943	active_learning,force_field,foundation_model,h2,high_throughput,ml,priority_journal,transfer_learning	Here, we introduce an LLM-based active learning framework (LLM-AL) that operates in an iterative few-shot setting and benchmark it against conventional ML models across four diverse materials science datasets.	Pretraining benefits may fade for underrepresented MOF metal nodes, defects, or guest-loaded structures. Acquisition functions and uncertainty estimates may be poorly calibrated outside the original chemistry domain.	Fine-tune on MOF datasets and test whether transfer helps scarce labels such as flexibility, defects, or guest response. Use uncertainty-aware active learning to choose MOF calculations that probe new nodes, linkers, and guest-loaded states.	Pretraining or transfer-learning route is promising for MOF tasks with sparse labels or many related properties.
Symmetry-aware Bayesian flow networks for crystal generation	2026-05-19	npj Computational Materials	https://doi.org/10.1038/s41524-026-02140-8	https://doi.org/10.1038/s41524-026-02140-8	1	15.726	crystal,generative_model,h2,ml,physics_informed,priority_journal	In this work, we introduce SymmBFN, a novel symmetry-aware Bayesian Flow Network (BFN) for crystalline material generation that accurately reproduces the distribution of space groups found in experimentally observed crystals.	Generative candidates may need explicit topology, charge-balance, and synthesizability constraints before MOF transfer. Likely sensitive to training-set coverage and transferability across chemistries.	Recast the generator with MOF topology, linker-node compatibility, charge, and synthetic-accessibility constraints. Benchmark uncertainty and out-of-domain behavior before broad screening claims.	Generative or inverse-design idea may transfer to MOFs if topology, charge, and synthesizability constraints are made explicit.
